Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
A1,B59,no_plasmid,2,5,1,no_plasmid,Cm,17.925
A1,B59,no_plasmid,2,5,1,no_plasmid,Kan,NA
A1,B59,no_plasmid,2,5,1,no_plasmid,Tet,20.303
A2,B59,p15A_plasmid,2,5,1,A31_plasmid,Cm,34.834
A2,B59,p15A_plasmid,2,5,1,A31_plasmid,Kan,36.593
A2,B59,p15A_plasmid,2,5,1,A31_plasmid,Tet,NA
A3,B59,pUC_plasmid,2,5,1,A18_plasmid,Cm,36.844
A3,B59,pUC_plasmid,2,5,1,A18_plasmid,Kan,35.040
A3,B59,pUC_plasmid,2,5,1,A18_plasmid,Tet,NA
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Cm,24.289
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Kan,37.206
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Tet,24.850
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Cm,22.775
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Kan,21.841
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Tet,23.572
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Cm,23.615
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Kan,18.725
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Tet,24.344
A10,B59,no_plasmid,2,0,1,no_plasmid,Cm,22.818
A10,B59,no_plasmid,2,0,1,no_plasmid,Kan,39.055
A10,B59,no_plasmid,2,0,1,no_plasmid,Tet,23.544
A11,B59,p15A_plasmid,2,0,1,A31_plasmid,Cm,23.731
A11,B59,p15A_plasmid,2,0,1,A31_plasmid,Kan,22.480
A11,B59,p15A_plasmid,2,0,1,A31_plasmid,Tet,24.678
A12,B59,pUC_plasmid,2,0,1,A18_plasmid,Cm,23.669
A12,B59,pUC_plasmid,2,0,1,A18_plasmid,Kan,19.285
A12,B59,pUC_plasmid,2,0,1,A18_plasmid,Tet,24.545
B1,B59,no_plasmid,2,5,2,no_plasmid,Cm,23.758
B1,B59,no_plasmid,2,5,2,no_plasmid,Kan,37.762
B1,B59,no_plasmid,2,5,2,no_plasmid,Tet,24.908
B2,B59,p15A_plasmid,2,5,2,A31_plasmid,Cm,35.624
B2,B59,p15A_plasmid,2,5,2,A31_plasmid,Kan,36.341
B2,B59,p15A_plasmid,2,5,2,A31_plasmid,Tet,NA
B3,B59,pUC_plasmid,2,5,2,A18_plasmid,Cm,35.975
B3,B59,pUC_plasmid,2,5,2,A18_plasmid,Kan,35.676
B3,B59,pUC_plasmid,2,5,2,A18_plasmid,Tet,NA
B6,B59,no_plasmid,2,0,2,no_plasmid_ancestor,Cm,25.113
B6,B59,no_plasmid,2,0,2,no_plasmid_ancestor,Kan,39.019
B6,B59,no_plasmid,2,0,2,no_plasmid_ancestor,Tet,25.850
B7,B59,p15A_plasmid,2,0,2,A31_plasmid_ancestor,Cm,22.522
B7,B59,p15A_plasmid,2,0,2,A31_plasmid_ancestor,Kan,21.456
B7,B59,p15A_plasmid,2,0,2,A31_plasmid_ancestor,Tet,23.296
B8,B59,pUC_plasmid,2,0,2,A18_plasmid_ancestor,Cm,23.735
B8,B59,pUC_plasmid,2,0,2,A18_plasmid_ancestor,Kan,18.941
B8,B59,pUC_plasmid,2,0,2,A18_plasmid_ancestor,Tet,24.564
B10,B59,no_plasmid,2,0,2,no_plasmid,Cm,22.751
B10,B59,no_plasmid,2,0,2,no_plasmid,Kan,38.544
B10,B59,no_plasmid,2,0,2,no_plasmid,Tet,23.516
B11,B59,p15A_plasmid,2,0,2,A31_plasmid,Cm,24.885
B11,B59,p15A_plasmid,2,0,2,A31_plasmid,Kan,23.562
B11,B59,p15A_plasmid,2,0,2,A31_plasmid,Tet,25.824
B12,B59,pUC_plasmid,2,0,2,A18_plasmid,Cm,19.763
B12,B59,pUC_plasmid,2,0,2,A18_plasmid,Kan,15.747
B12,B59,pUC_plasmid,2,0,2,A18_plasmid,Tet,20.939
C1,B59,no_plasmid,2,5,3,no_plasmid,Cm,20.068
C1,B59,no_plasmid,2,5,3,no_plasmid,Kan,NA
C1,B59,no_plasmid,2,5,3,no_plasmid,Tet,22.490
C2,B59,p15A_plasmid,2,5,3,A31_plasmid,Cm,39.418
C2,B59,p15A_plasmid,2,5,3,A31_plasmid,Kan,37.101
C2,B59,p15A_plasmid,2,5,3,A31_plasmid,Tet,NA
C3,B59,pUC_plasmid,2,5,3,A18_plasmid,Cm,35.393
C3,B59,pUC_plasmid,2,5,3,A18_plasmid,Kan,35.403
C3,B59,pUC_plasmid,2,5,3,A18_plasmid,Tet,NA
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Cm,25.493
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Kan,38.281
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Tet,26.135
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Cm,23.941
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Kan,22.545
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Tet,24.818
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Cm,25.604
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Kan,20.303
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Tet,26.701
C10,B59,no_plasmid,2,0,3,no_plasmid,Cm,21.066
C10,B59,no_plasmid,2,0,3,no_plasmid,Kan,38.517
C10,B59,no_plasmid,2,0,3,no_plasmid,Tet,21.828
C11,B59,p15A_plasmid,2,0,3,A31_plasmid,Cm,20.299
C11,B59,p15A_plasmid,2,0,3,A31_plasmid,Kan,19.242
C11,B59,p15A_plasmid,2,0,3,A31_plasmid,Tet,21.406
C12,B59,pUC_plasmid,2,0,3,A18_plasmid,Cm,18.532
C12,B59,pUC_plasmid,2,0,3,A18_plasmid,Kan,15.321
C12,B59,pUC_plasmid,2,0,3,A18_plasmid,Tet,19.602
D1,B59,no_plasmid,2,5,4,no_plasmid,Cm,21.385
D1,B59,no_plasmid,2,5,4,no_plasmid,Kan,38.756
D1,B59,no_plasmid,2,5,4,no_plasmid,Tet,23.384
D2,B59,p15A_plasmid,2,5,4,A31_plasmid,Cm,36.980
D2,B59,p15A_plasmid,2,5,4,A31_plasmid,Kan,37.168
D2,B59,p15A_plasmid,2,5,4,A31_plasmid,Tet,NA
D3,B59,pUC_plasmid,2,5,4,A18_plasmid,Cm,35.154
D3,B59,pUC_plasmid,2,5,4,A18_plasmid,Kan,35.590
D3,B59,pUC_plasmid,2,5,4,A18_plasmid,Tet,38.403
D10,B59,no_plasmid,2,0,4,no_plasmid,Cm,21.333
D10,B59,no_plasmid,2,0,4,no_plasmid,Kan,37.946
D10,B59,no_plasmid,2,0,4,no_plasmid,Tet,22.249
D11,B59,p15A_plasmid,2,0,4,A31_plasmid,Cm,17.479
D11,B59,p15A_plasmid,2,0,4,A31_plasmid,Kan,17.305
D11,B59,p15A_plasmid,2,0,4,A31_plasmid,Tet,18.358
D12,B59,pUC_plasmid,2,0,4,A18_plasmid,Cm,18.134
D12,B59,pUC_plasmid,2,0,4,A18_plasmid,Kan,14.696
D12,B59,pUC_plasmid,2,0,4,A18_plasmid,Tet,19.144
E1,B59,no_plasmid,2,5,5,no_plasmid,Cm,17.836
E1,B59,no_plasmid,2,5,5,no_plasmid,Kan,NA
E1,B59,no_plasmid,2,5,5,no_plasmid,Tet,20.809
E2,B59,p15A_plasmid,2,5,5,A31_plasmid,Cm,18.242
E2,B59,p15A_plasmid,2,5,5,A31_plasmid,Kan,17.627
E2,B59,p15A_plasmid,2,5,5,A31_plasmid,Tet,19.372
E3,B59,pUC_plasmid,2,5,5,A18_plasmid,Cm,35.540
E3,B59,pUC_plasmid,2,5,5,A18_plasmid,Kan,34.839
E3,B59,pUC_plasmid,2,5,5,A18_plasmid,Tet,NA
E10,B59,no_plasmid,2,0,5,no_plasmid,Cm,23.248
E10,B59,no_plasmid,2,0,5,no_plasmid,Kan,37.422
E10,B59,no_plasmid,2,0,5,no_plasmid,Tet,24.107
E11,B59,p15A_plasmid,2,0,5,A31_plasmid,Cm,21.644
E11,B59,p15A_plasmid,2,0,5,A31_plasmid,Kan,20.551
E11,B59,p15A_plasmid,2,0,5,A31_plasmid,Tet,22.620
E12,B59,pUC_plasmid,2,0,5,A18_plasmid,Cm,21.394
E12,B59,pUC_plasmid,2,0,5,A18_plasmid,Kan,16.563
E12,B59,pUC_plasmid,2,0,5,A18_plasmid,Tet,22.385
F1,B59,no_plasmid,2,5,6,no_plasmid,Cm,18.476
F1,B59,no_plasmid,2,5,6,no_plasmid,Kan,NA
F1,B59,no_plasmid,2,5,6,no_plasmid,Tet,20.316
F2,B59,p15A_plasmid,2,5,6,A31_plasmid,Cm,20.026
F2,B59,p15A_plasmid,2,5,6,A31_plasmid,Kan,16.988
F2,B59,p15A_plasmid,2,5,6,A31_plasmid,Tet,23.483
F3,B59,pUC_plasmid,2,5,6,A18_plasmid,Cm,35.722
F3,B59,pUC_plasmid,2,5,6,A18_plasmid,Kan,34.646
F3,B59,pUC_plasmid,2,5,6,A18_plasmid,Tet,NA
F10,B59,no_plasmid,2,0,6,no_plasmid,Cm,22.084
F10,B59,no_plasmid,2,0,6,no_plasmid,Kan,39.604
F10,B59,no_plasmid,2,0,6,no_plasmid,Tet,22.918
F11,B59,p15A_plasmid,2,0,6,A31_plasmid,Cm,17.810
F11,B59,p15A_plasmid,2,0,6,A31_plasmid,Kan,17.568
F11,B59,p15A_plasmid,2,0,6,A31_plasmid,Tet,18.716
F12,B59,pUC_plasmid,2,0,6,A18_plasmid,Cm,18.929
F12,B59,pUC_plasmid,2,0,6,A18_plasmid,Kan,15.280
F12,B59,pUC_plasmid,2,0,6,A18_plasmid,Tet,20.117
G1,B59,no_plasmid,2,5,7,no_plasmid,Cm,18.244
G1,B59,no_plasmid,2,5,7,no_plasmid,Kan,NA
G1,B59,no_plasmid,2,5,7,no_plasmid,Tet,20.937
G2,B59,p15A_plasmid,2,5,7,A31_plasmid,Cm,19.363
G2,B59,p15A_plasmid,2,5,7,A31_plasmid,Kan,15.969
G2,B59,p15A_plasmid,2,5,7,A31_plasmid,Tet,23.524
G3,B59,pUC_plasmid,2,5,7,A18_plasmid,Cm,22.700
G3,B59,pUC_plasmid,2,5,7,A18_plasmid,Kan,17.089
G3,B59,pUC_plasmid,2,5,7,A18_plasmid,Tet,24.144
G10,B59,no_plasmid,2,0,7,no_plasmid,Cm,20.997
G10,B59,no_plasmid,2,0,7,no_plasmid,Kan,37.942
G10,B59,no_plasmid,2,0,7,no_plasmid,Tet,21.984
G11,B59,p15A_plasmid,2,0,7,A31_plasmid,Cm,16.732
G11,B59,p15A_plasmid,2,0,7,A31_plasmid,Kan,16.718
G11,B59,p15A_plasmid,2,0,7,A31_plasmid,Tet,17.690
G12,B59,pUC_plasmid,2,0,7,A18_plasmid,Cm,19.150
G12,B59,pUC_plasmid,2,0,7,A18_plasmid,Kan,15.621
G12,B59,pUC_plasmid,2,0,7,A18_plasmid,Tet,20.074
H1,B59,no_plasmid,2,5,8,no_plasmid,Cm,17.118
H1,B59,no_plasmid,2,5,8,no_plasmid,Kan,39.045
H1,B59,no_plasmid,2,5,8,no_plasmid,Tet,18.880
H2,B59,p15A_plasmid,2,5,8,A31_plasmid,Cm,19.221
H2,B59,p15A_plasmid,2,5,8,A31_plasmid,Kan,16.477
H2,B59,p15A_plasmid,2,5,8,A31_plasmid,Tet,22.050
H3,B59,pUC_plasmid,2,5,8,A18_plasmid,Cm,20.190
H3,B59,pUC_plasmid,2,5,8,A18_plasmid,Kan,13.990
H3,B59,pUC_plasmid,2,5,8,A18_plasmid,Tet,22.210
H10,B59,no_plasmid,2,0,8,no_plasmid,Cm,22.978
H10,B59,no_plasmid,2,0,8,no_plasmid,Kan,38.604
H10,B59,no_plasmid,2,0,8,no_plasmid,Tet,23.793
H11,B59,p15A_plasmid,2,0,8,A31_plasmid,Cm,15.415
H11,B59,p15A_plasmid,2,0,8,A31_plasmid,Kan,15.512
H11,B59,p15A_plasmid,2,0,8,A31_plasmid,Tet,16.260
H12,B59,pUC_plasmid,2,0,8,A18_plasmid,Cm,16.507
H12,B59,pUC_plasmid,2,0,8,A18_plasmid,Kan,13.623
H12,B59,pUC_plasmid,2,0,8,A18_plasmid,Tet,17.226